a , i , ecc , p
0.8 , 0.3 , 0.1 , 6.057099999998702
0.8 , 0.3 , 0.2 , 6.070099999998671
0.8 , 0.5 , 0.1 , 6.43109999999783
0.8 , 0.5 , 0.2 , 6.443299999997802
0.8 , 0.7 , 0.1 , 6.972299999996569
0.8 , 0.7 , 0.2 , 6.983799999996542
0.8 , 0.7 , 0.3 , 7.002999999996497
0.8 , 0.7 , 0.4 , 7.029599999996435
0.8 , 0.9 , 0.1 , 7.654699999994978
0.8 , 0.9 , 0.2 , 7.665799999994952
0.8 , 0.9 , 0.3 , 7.6841999999949095
0.8 , 0.9 , 0.4 , 7.70969999999485
0.8 , 0.9 , 0.5 , 7.742399999994774
0.8 , 1.1 , 0.1 , 8.444999999993136
0.8 , 1.1 , 0.2 , 8.45599999999311
0.8 , 1.1 , 0.3 , 8.474199999993068
0.8 , 1.1 , 0.4 , 8.49949999999301
0.8 , 1.1 , 0.5 , 8.531799999992934
0.8 , 1.1 , 0.6 , 8.570899999992843
0.8 , 1.1 , 0.7 , 8.616699999992736
0.8 , 1.3 , 0.1 , 9.30619999999113
0.8 , 1.3 , 0.2 , 9.317499999991103
0.8 , 1.3 , 0.3 , 9.33609999999106
0.8 , 1.3 , 0.4 , 9.361999999991
0.8 , 1.3 , 0.5 , 9.394999999990922
0.8 , 1.3 , 0.6 , 9.43499999999083
0.8 , 1.3 , 0.7 , 9.48179999999072
0.8 , 1.3 , 0.8 , 9.534999999990596
0.85 , 0.3 , 0.1 , 5.66319999999962
0.85 , 0.5 , 0.1 , 6.070399999998671
0.85 , 0.5 , 0.2 , 6.081899999998644
0.85 , 0.7 , 0.1 , 6.658999999997299
0.85 , 0.7 , 0.2 , 6.669599999997274
0.85 , 0.7 , 0.3 , 6.687199999997233
0.85 , 0.9 , 0.1 , 7.398799999995575
0.85 , 0.9 , 0.2 , 7.408899999995551
0.85 , 0.9 , 0.3 , 7.425699999995512
0.85 , 0.9 , 0.4 , 7.4490999999954575
0.85 , 1.1 , 0.1 , 8.252099999993586
0.85 , 1.1 , 0.2 , 8.262199999993562
0.85 , 1.1 , 0.3 , 8.278899999993524
0.85 , 1.1 , 0.4 , 8.30209999999347
0.85 , 1.1 , 0.5 , 8.3317999999934
0.85 , 1.1 , 0.6 , 8.367799999993316
0.85 , 1.3 , 0.1 , 9.178199999991428
0.85 , 1.3 , 0.2 , 9.188599999991403
0.85 , 1.3 , 0.3 , 9.205899999991363
0.85 , 1.3 , 0.4 , 9.229999999991307
0.85 , 1.3 , 0.5 , 9.260699999991235
0.85 , 1.3 , 0.6 , 9.297799999991149
0.85 , 1.3 , 0.7 , 9.341199999991048
0.85 , 1.3 , 0.8 , 9.390699999990932
0.9 , 0.5 , 0.1 , 5.683699999999572
0.9 , 0.7 , 0.1 , 6.326099999998075
0.9 , 0.7 , 0.2 , 6.335599999998053
0.9 , 0.9 , 0.1 , 7.1293999999962026
0.9 , 0.9 , 0.2 , 7.138499999996181
0.9 , 0.9 , 0.3 , 7.153399999996147
0.9 , 0.9 , 0.4 , 7.174299999996098
0.9 , 1.1 , 0.1 , 8.050499999994056
0.9 , 1.1 , 0.2 , 8.059499999994035
0.9 , 1.1 , 0.3 , 8.074499999994
0.9 , 1.1 , 0.4 , 8.095399999993951
0.9 , 1.1 , 0.5 , 8.122099999993889
0.9 , 1.1 , 0.6 , 8.154399999993814
0.9 , 1.3 , 0.1 , 9.044699999991739
0.9 , 1.3 , 0.2 , 9.054199999991717
0.9 , 1.3 , 0.3 , 9.06999999999168
0.9 , 1.3 , 0.4 , 9.091999999991629
0.9 , 1.3 , 0.5 , 9.120099999991563
0.9 , 1.3 , 0.6 , 9.153999999991484
0.9 , 1.3 , 0.7 , 9.193799999991391
0.9 , 1.3 , 0.8 , 9.239099999991286
0.95 , 0.7 , 0.1 , 5.96769999999891
0.95 , 0.9 , 0.1 , 6.843699999996868
0.95 , 0.9 , 0.2 , 6.8513999999968505
0.95 , 0.9 , 0.3 , 6.864199999996821
0.95 , 1.1 , 0.1 , 7.838799999994549
0.95 , 1.1 , 0.2 , 7.846599999994531
0.95 , 1.1 , 0.3 , 7.8596999999945005
0.95 , 1.1 , 0.4 , 7.877899999994458
0.95 , 1.1 , 0.5 , 7.901199999994404
0.95 , 1.3 , 0.1 , 8.905099999992064
0.95 , 1.3 , 0.2 , 8.913599999992044
0.95 , 1.3 , 0.3 , 8.927799999992011
0.95 , 1.3 , 0.4 , 8.947499999991965
0.95 , 1.3 , 0.5 , 8.972599999991907
0.95 , 1.3 , 0.6 , 9.003099999991836
0.95 , 1.3 , 0.7 , 9.038799999991753
0.95 , 1.3 , 0.8 , 9.079399999991658
0.95 , 1.5 , 0.1 , 9.998099999989517
